[2026-03-19T09:29:14.596+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897174.json to Snowflake stage
[2026-03-19T09:29:14.764+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897185.json to Snowflake stage
[2026-03-19T09:29:14.975+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897195.json to Snowflake stage
[2026-03-19T09:29:15.141+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897205.json to Snowflake stage
[2026-03-19T09:29:15.310+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897215.json to Snowflake stage
[2026-03-19T09:29:15.624+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897225.json to Snowflake stage
[2026-03-19T09:29:16.382+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897235.json to Snowflake stage
[2026-03-19T09:29:16.562+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897245.json to Snowflake stage
[2026-03-19T09:29:16.732+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897255.json to Snowflake stage
[2026-03-19T09:29:16.925+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897265.json to Snowflake stage
[2026-03-19T09:29:17.090+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897275.json to Snowflake stage
[2026-03-19T09:29:17.264+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897285.json to Snowflake stage
[2026-03-19T09:29:17.469+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897295.json to Snowflake stage
[2026-03-19T09:29:17.675+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897305.json to Snowflake stage
[2026-03-19T09:29:17.862+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897315.json to Snowflake stage
[2026-03-19T09:29:18.037+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897325.json to Snowflake stage
[2026-03-19T09:29:18.235+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897336.json to Snowflake stage
[2026-03-19T09:29:18.390+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897346.json to Snowflake stage
[2026-03-19T09:29:18.553+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897356.json to Snowflake stage
