[2026-03-19T09:28:09.116+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-03-19T09:28:13.163+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897852.json -> /tmp/minio_downloads/1773897852.json
[2026-03-19T09:28:13.175+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897863.json -> /tmp/minio_downloads/1773897863.json
[2026-03-19T09:28:13.186+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897884.json -> /tmp/minio_downloads/1773897884.json
[2026-03-19T09:28:13.198+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773897895.json -> /tmp/minio_downloads/1773897895.json
[2026-03-19T09:28:13.210+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773903744.json -> /tmp/minio_downloads/1773903744.json
[2026-03-19T09:28:13.223+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773903760.json -> /tmp/minio_downloads/1773903760.json
[2026-03-19T09:28:13.234+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773903772.json -> /tmp/minio_downloads/1773903772.json
[2026-03-19T09:28:13.246+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773903782.json -> /tmp/minio_downloads/1773903782.json
[2026-03-19T09:28:13.258+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773903793.json -> /tmp/minio_downloads/1773903793.json
[2026-03-19T09:28:13.271+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773903804.json -> /tmp/minio_downloads/1773903804.json
[2026-03-19T09:28:13.283+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773903814.json -> /tmp/minio_downloads/1773903814.json
[2026-03-19T09:28:13.295+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773903824.json -> /tmp/minio_downloads/1773903824.json
[2026-03-19T09:28:13.306+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773903835.json -> /tmp/minio_downloads/1773903835.json
[2026-03-19T09:28:13.318+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773903845.json -> /tmp/minio_downloads/1773903845.json
[2026-03-19T09:28:13.330+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773903855.json -> /tmp/minio_downloads/1773903855.json
[2026-03-19T09:28:13.342+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773903866.json -> /tmp/minio_downloads/1773903866.json
[2026-03-19T09:28:13.354+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773903876.json -> /tmp/minio_downloads/1773903876.json
[2026-03-19T09:28:13.365+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773903886.json -> /tmp/minio_downloads/1773903886.json
[2026-03-19T09:28:13.377+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773903897.json -> /tmp/minio_downloads/1773903897.json
[2026-03-19T09:28:13.388+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773903907.json -> /tmp/minio_downloads/1773903907.json
[2026-03-19T09:28:13.399+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773903917.json -> /tmp/minio_downloads/1773903917.json
[2026-03-19T09:28:13.412+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773903927.json -> /tmp/minio_downloads/1773903927.json
[2026-03-19T09:28:13.424+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773903937.json -> /tmp/minio_downloads/1773903937.json
[2026-03-19T09:28:13.435+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773903947.json -> /tmp/minio_downloads/1773903947.json
[2026-03-19T09:28:13.447+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773903958.json -> /tmp/minio_downloads/1773903958.json
[2026-03-19T09:28:13.458+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773903968.json -> /tmp/minio_downloads/1773903968.json
[2026-03-19T09:28:13.469+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773903978.json -> /tmp/minio_downloads/1773903978.json
[2026-03-19T09:28:13.481+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773903988.json -> /tmp/minio_downloads/1773903988.json
[2026-03-19T09:28:13.493+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773903999.json -> /tmp/minio_downloads/1773903999.json
[2026-03-19T09:28:13.508+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1773904009.json -> /tmp/minio_downloads/1773904009.json
