[2026-03-19T09:56:22.136+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897639.json to Snowflake stage
[2026-03-19T09:56:22.346+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897649.json to Snowflake stage
[2026-03-19T09:56:22.487+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897659.json to Snowflake stage
[2026-03-19T09:56:22.627+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897669.json to Snowflake stage
[2026-03-19T09:56:22.809+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897679.json to Snowflake stage
[2026-03-19T09:56:22.968+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897689.json to Snowflake stage
[2026-03-19T09:56:23.149+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897699.json to Snowflake stage
[2026-03-19T09:56:23.298+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897709.json to Snowflake stage
[2026-03-19T09:56:23.461+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897719.json to Snowflake stage
[2026-03-19T09:56:23.614+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897730.json to Snowflake stage
[2026-03-19T09:56:23.805+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897740.json to Snowflake stage
[2026-03-19T09:56:23.970+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897750.json to Snowflake stage
[2026-03-19T09:56:24.096+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897760.json to Snowflake stage
[2026-03-19T09:56:24.264+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897770.json to Snowflake stage
[2026-03-19T09:56:24.447+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897780.json to Snowflake stage
[2026-03-19T09:56:24.578+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897790.json to Snowflake stage
[2026-03-19T09:56:24.767+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897800.json to Snowflake stage
[2026-03-19T09:56:24.891+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897810.json to Snowflake stage
[2026-03-19T09:56:25.063+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897821.json to Snowflake stage
[2026-03-19T09:56:25.231+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897831.json to Snowflake stage
[2026-03-19T09:56:25.529+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897841.json to Snowflake stage
[2026-03-19T09:56:25.760+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897852.json to Snowflake stage
[2026-03-19T09:56:25.883+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897863.json to Snowflake stage
[2026-03-19T09:56:26.063+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897884.json to Snowflake stage
[2026-03-19T09:56:26.237+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897895.json to Snowflake stage
[2026-03-19T09:56:26.559+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903744.json to Snowflake stage
[2026-03-19T09:56:26.714+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903760.json to Snowflake stage
[2026-03-19T09:56:26.873+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903772.json to Snowflake stage
[2026-03-19T09:56:27.013+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903782.json to Snowflake stage
[2026-03-19T09:56:27.127+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903793.json to Snowflake stage
[2026-03-19T09:56:27.275+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903804.json to Snowflake stage
[2026-03-19T09:56:27.389+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903814.json to Snowflake stage
[2026-03-19T09:56:27.555+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903824.json to Snowflake stage
[2026-03-19T09:56:27.786+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903835.json to Snowflake stage
[2026-03-19T09:56:27.940+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903845.json to Snowflake stage
[2026-03-19T09:56:28.064+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903855.json to Snowflake stage
